,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
901,female,group C,master's degree,standard,none,73,78,74
803,female,group B,some college,standard,none,82,85,87
855,female,group B,bachelor's degree,standard,none,97,97,96
392,male,group E,some college,standard,none,76,67,67
881,female,group E,bachelor's degree,standard,completed,71,70,70
508,male,group C,master's degree,standard,none,79,78,77
203,female,group B,associate's degree,standard,none,57,69,68
904,female,group D,some high school,free/reduced,none,67,84,84
463,female,group C,some college,free/reduced,none,77,90,91
495,male,group D,high school,standard,completed,68,64,66
777,female,group C,some college,free/reduced,none,35,44,43
708,male,group D,high school,standard,none,89,87,79
317,male,group C,associate's degree,standard,none,83,72,78
977,male,group C,associate's degree,standard,none,62,65,58
215,male,group B,some high school,standard,completed,84,83,75
98,female,group D,some college,free/reduced,none,58,67,62
113,female,group D,some college,standard,none,51,58,54
589,female,group A,some high school,standard,none,48,66,65
506,male,group A,high school,standard,none,68,70,66
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
332,male,group E,associate's degree,standard,completed,62,56,53
438,male,group C,high school,standard,none,70,56,51
559,male,group D,some high school,standard,none,73,66,62
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
760,female,group C,high school,free/reduced,none,53,72,64
19,female,group C,associate's degree,free/reduced,none,54,58,61
858,male,group B,high school,standard,completed,52,49,46
314,female,group C,bachelor's degree,standard,completed,59,64,75
111,male,group C,high school,standard,none,62,55,49
271,male,group C,some college,standard,none,58,49,42
512,male,group D,some high school,free/reduced,none,62,49,52
393,male,group C,associate's degree,standard,completed,57,54,56
413,male,group B,some high school,standard,completed,63,67,67
308,female,group B,associate's degree,free/reduced,none,53,71,67
695,female,group D,some college,free/reduced,none,79,89,86
647,female,group E,high school,free/reduced,none,64,62,68
16,male,group C,high school,standard,none,88,89,86
316,female,group D,master's degree,standard,completed,77,82,91
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
124,male,group E,some college,standard,none,83,80,73
102,female,group D,associate's degree,standard,none,85,91,89
790,female,group B,high school,standard,none,48,62,60
503,female,group E,associate's degree,standard,completed,95,89,92
9,female,group B,high school,free/reduced,none,38,60,50
103,male,group B,high school,standard,completed,60,44,47
594,female,group C,bachelor's degree,standard,completed,92,100,99
235,male,group D,associate's degree,standard,none,80,75,77
829,male,group B,some high school,standard,none,68,54,53
937,female,group E,high school,free/reduced,none,57,58,57
965,female,group D,some college,standard,none,62,70,72
511,male,group A,some high school,standard,none,64,50,43
386,female,group E,bachelor's degree,standard,none,64,73,70
769,male,group A,some college,free/reduced,none,58,60,57
616,female,group E,bachelor's degree,standard,none,37,45,38
30,female,group D,some college,standard,none,69,74,74
206,male,group E,bachelor's degree,standard,none,82,62,62
861,female,group E,master's degree,free/reduced,none,81,86,87
529,female,group C,associate's degree,standard,none,62,74,70
918,female,group C,associate's degree,standard,completed,57,77,80
590,male,group C,some college,free/reduced,none,58,57,54
645,female,group B,bachelor's degree,standard,completed,65,81,81
563,female,group D,some college,free/reduced,completed,63,80,80
574,female,group E,high school,standard,none,74,81,71
733,male,group D,some high school,standard,none,55,47,44
68,male,group B,associate's degree,free/reduced,none,61,58,56
571,male,group A,bachelor's degree,standard,none,91,96,92
578,female,group B,some college,free/reduced,completed,48,56,58
94,female,group B,some college,standard,none,79,86,92
716,male,group C,associate's degree,standard,completed,73,78,72
612,male,group C,bachelor's degree,standard,completed,94,90,91
307,male,group C,some high school,standard,none,51,52,44
255,female,group E,some college,standard,none,62,73,70
893,male,group D,some high school,standard,completed,88,74,75
526,male,group C,some high school,free/reduced,completed,56,61,60
220,female,group D,high school,standard,completed,56,68,74
272,female,group D,associate's degree,free/reduced,none,47,53,58
473,female,group D,some high school,standard,none,59,67,61
465,female,group C,some college,standard,none,84,87,91
121,male,group B,associate's degree,standard,completed,91,89,92
