iter	Passed	Remaining
0	63	63646
1	64	32167
2	65	21622
3	65	16362
4	66	13217
5	67	11144
6	68	9667
7	68	8544
8	69	7658
9	70	6955
10	70	6372
11	71	5885
12	72	5486
13	72	5128
14	73	4830
15	74	4569
16	74	4333
17	75	4121
18	76	3939
19	76	3765
20	77	3613
21	78	3476
22	79	3357
23	79	3242
24	80	3138
25	81	3036
26	81	2944
27	82	2863
28	83	2786
29	83	2713
30	84	2642
31	85	2577
32	85	2516
33	86	2461
34	92	2550
35	93	2496
36	94	2464
37	95	2422
38	96	2388
39	97	2344
40	98	2306
41	99	2268
42	100	2247
43	101	2209
44	102	2172
45	103	2143
46	104	2120
47	105	2088
48	106	2057
49	106	2032
50	107	2004
51	108	1976
52	109	1954
53	110	1927
54	110	1902
55	111	1877
56	112	1856
57	112	1834
58	113	1812
59	114	1789
60	114	1768
61	115	1747
62	116	1725
63	116	1705
64	117	1689
65	118	1672
66	118	1655
67	119	1639
68	120	1623
69	120	1605
70	121	1589
71	122	1573
72	122	1557
73	123	1549
74	124	1535
75	125	1521
76	125	1507
77	126	1500
78	127	1487
79	128	1476
80	129	1464
81	129	1452
82	130	1436
83	130	1425
84	131	1413
85	131	1402
86	132	1391
87	133	1380
88	133	1371
89	134	1360
90	135	1350
91	135	1340
92	136	1331
93	137	1322
94	138	1314
95	138	1305
96	139	1297
97	139	1288
98	140	1280
99	141	1272
100	142	1266
101	143	1260
102	143	1253
103	144	1245
104	145	1240
105	146	1232
106	146	1225
107	147	1220
108	148	1214
109	149	1207
110	150	1203
111	150	1196
112	151	1190
113	152	1184
114	153	1178
115	153	1171
116	154	1164
117	155	1163
118	156	1158
119	157	1153
120	158	1148
121	158	1143
122	159	1138
123	160	1134
124	161	1129
125	162	1123
126	162	1117
127	163	1113
128	164	1110
129	165	1105
130	166	1101
131	166	1096
132	167	1092
133	168	1087
134	168	1082
135	170	1081
136	171	1077
137	172	1077
138	173	1072
139	173	1068
140	174	1064
141	175	1058
142	175	1054
143	176	1050
144	177	1046
145	178	1042
146	179	1039
147	179	1035
148	180	1031
149	181	1027
150	182	1024
151	182	1020
152	183	1016
153	184	1012
154	184	1008
155	185	1005
156	186	1001
157	187	998
158	187	994
159	188	990
160	189	986
161	190	983
162	190	979
163	191	976
164	192	972
165	193	970
166	193	967
167	194	964
168	195	961
169	196	958
170	197	955
171	197	951
172	198	948
173	199	945
174	199	942
175	200	939
176	201	936
177	202	933
178	203	932
179	204	929
180	204	927
181	205	924
182	206	922
183	207	920
184	208	918
185	209	917
186	210	915
187	211	913
188	212	911
189	213	909
190	214	907
191	215	905
192	215	902
193	216	900
194	217	898
195	218	896
196	219	894
197	220	892
198	221	889
199	221	887
200	223	887
201	224	885
202	225	883
203	225	881
204	226	878
205	227	876
206	228	874
207	229	872
208	230	870
209	230	868
210	231	866
211	232	864
212	233	862
213	234	861
214	235	859
215	236	857
216	237	855
217	237	853
218	238	851
219	239	849
220	240	847
221	242	848
222	242	846
223	243	844
224	244	842
225	245	840
226	246	838
227	247	836
228	248	835
229	248	833
230	249	831
231	250	828
232	251	826
233	251	824
234	252	822
235	253	819
236	253	817
237	254	815
238	255	813
239	256	811
240	257	809
241	257	807
242	258	805
243	259	803
244	260	801
245	260	799
246	261	797
247	262	794
248	262	792
249	263	790
250	264	788
251	265	786
252	265	784
253	266	782
254	267	780
255	268	779
256	268	777
257	269	775
258	270	773
259	270	771
260	271	769
261	272	767
262	273	765
263	273	763
264	274	761
265	275	760
266	276	758
